text,intent,product
regards,menu,Default
hey bro kya haal hai,menu,Default
hello bhai kese ho,menu,Default
salam dost kya scene hai,menu,Default
aoa bhai sab theek?,menu,Default
hi kya kar rahe ho,menu,Default
hello kya chal raha hai,menu,Default
hello,menu,Default
hi,menu,Default
hey there,menu,Default
assalamualaikum,menu,Default
aoa,menu,Default
salam,menu,Default
good morning,menu,Default
business kab start hota hai,business_hours,Default
hello do you sell monitors,product_query,Monitor
hi i want to buy a laptop,product_query,Laptop
i want to buy a mousepad,product_query,Mousepad
hello can i buy a gaming laptop,product_query,Laptop
hi do you have wireless mouse,product_query,Mouse
do you sell keyboards,product_query,Keyboard
can i buy headphones from you,product_query,Headphone
hello i need a mechanical keyboard,product_query,Keyboard
can i buy gaming accessories,product_query,Mouse
i want a mousepad with rgb lights,product_query,Mousepad
i want a laptop for graphic designing,product_query,Laptop
do you have wireless mechanical keyboards,product_query,Keyboard
hello i need headphones for zoom meetings,product_query,Headphone
hi can i buy office mousepad,product_query,Mousepad
i want to purchase gaming accessories bundle,product_query,Mouse
jeans chahiye,product_query,Jeans
blue jeans available?,product_query,Jeans
cargo pants dikhao,product_query,Pants
black jeans chahiye,product_query,Jeans
gaming controller chahiye,product_query,Controller
ps5 controller available?,product_query,Controller
xbox controller dikhao,product_query,Controller
wireless controller chahiye,product_query,Controller
controller price kya hai?,product_query,Controller
cheap controller available?,product_query,Controller
contact number please,contact_request,Default
support number chahiye,contact_request,Default
customer care number do,contact_request,Default
phone number batao,contact_request,Default
what are your business hours,business_hours,Default
when are you open,business_hours,Default
what time do you open,business_hours,Default
what time do you close,business_hours,Default
store timings kya hain,business_hours,Default
shop kab khulti hai,business_hours,Default
shop kab band hoti hai,business_hours,Default
opening hours batao,business_hours,Default
closing time kya hai,business_hours,Default
aaj open ho?,business_hours,Default
working hours kya hain,business_hours,Default
thank you,other,None
thanks bhai,other,None
okay thanks,other,None
goodbye,other,None
bye,other,None
allah hafiz,other,None
khuda hafiz,other,None
see you later,other,None
okay cool,other,None
alright then,other,None
nice,other,None
cool,other,None
hmm okay,other,None
got it,other,None
understood,other,None
perfect,other,None
great,other,None
random text,other,None
asdfghjkl,other,None
what is life,other,None
blah blah blah,other,None
i don't know,other,None
test message,other,None
hello random stuff,other,None
qwerty,other,None
haha,other,None
lol,other,None
😂,other,None
👍,other,None
❤️,other,None
not now,other,None
maybe later,other,None
i will think about it,other,None
just browsing,other,None
not buying yet,other,None
i am checking,other,None
thanks for help,other,None
ok bye,other,None
talk later,other,None
office timing kya hai,business_hours,Default
kab available hote ho,business_hours,Default
friday timing kya hai,business_hours,Default
weekend timings batao,business_hours,Default
business kab start hota hai,business_hours,Default
raat tak open ho?,business_hours,Default
subah kab khulte ho,business_hours,Default
timings share karo,business_hours,Default
store open hai ya nahi,business_hours,Default
how can i contact you,contact_request,Default
email address kya hai,contact_request,Default
menu,menu,Default
main menu,menu,Default
show menu,menu,Default
open menu,menu,Default
what is the menu,menu,Default
what can you do,menu,Default
what do you offer,menu,Default
show options,menu,Default
options,menu,Default
show options please,menu,Default
available options,menu,Default
help menu,menu,Default
start menu,menu,Default
restart menu,menu,Default
bot menu,menu,Default
services,menu,Default
what services do you have,menu,Default
what services do you offer,menu,Default
guide me,menu,Default
assist me,menu,Default
help me,menu,Default
i need help,menu,Default
need help,menu,Default
help please,menu,Default
can you help me,menu,Default
show me what you can do,menu,Default
what can you do for me,menu,Default
show me features,menu,Default
features,menu,Default
kya kar sakte ho,menu,Default
kya options hain,menu,Default
menu dikhao,menu,Default
menu show karo,menu,Default
main options dikhao,menu,Default
bot kya karta hai,menu,Default
tum kya kar sakte ho,menu,Default
available kya hai,menu,Default
kya services hain,menu,Default
start chat,menu,Default
begin,menu,Default
lets start,menu,Default
hello menu,menu,Default
hi menu,menu,Default
show me menu options,menu,Default
i want menu,menu,Default
show everything,menu,Default
what are my options,menu,Default
list options,menu,Default
tell me options,menu,Default
help options,menu,Default
navigation menu,menu,Default
main options,menu,Default
what next,menu,Default
guide options,menu,Default
assistant menu,menu,Default
bot options,menu,Default
show dashboard,menu,Default
open dashboard,menu,Default
get started,menu,Default
start here,menu,Default
begin chat,menu,Default
i am confused,menu,Default
samajh nahi aa raha,menu,Default
mujhe help chahiye,menu,Default
kya karun,menu,Default
ab kya karna hai,menu,Default
what now,menu,Default
whatsapp number do,contact_request,Default
support team se baat karni hai,contact_request,Default
live agent se connect karo,contact_request,Default
help desk number do,contact_request,Default
contact details share karo,contact_request,Default
official number kya hai,contact_request,Default
sales contact bhejo,contact_request,Default
technical support number chahiye,contact_request,Default
store ka number do,contact_request,Default
helpline kya hai,contact_request,Default
customer support email do,contact_request,Default
1,menu,Default
2,menu,Default
3,menu,Default
4,menu,Default
option 1,menu,Default
option 2,menu,Default
option 3,menu,Default
option 4,menu,Default
press 1,menu,Default
press 2,menu,Default
press 3,menu,Default
press 4,menu,Default
choose 1,menu,Default
choose 2,menu,Default
choose 3,menu,Default
choose 4,menu,Default
select 1,menu,Default
select 2,menu,Default
select 3,menu,Default
select 4,menu,Default
i choose 1,menu,Default
i choose 2,menu,Default
i choose 3,menu,Default
i choose 4,menu,Default
menu 1,menu,Default
menu 2,menu,Default
menu 3,menu,Default
just 1,menu,Default
just 2,menu,Default
just 3,menu,Default
just 4,menu,Default
send 1,menu,Default
send 2,menu,Default
send 3,menu,Default
send 4,menu,Default
menu 4,menu,Default
pick 1,menu,Default
pick 2,menu,Default
pick 3,menu,Default
pick 4,menu,Default
number 1,menu,Default
number 2,menu,Default
number 3,menu,Default
number 4,menu,Default
one,menu,Default
two,menu,Default
three,menu,Default
four,menu,Default
1 please,menu,Default
2 please,menu,Default
3 please,menu,Default
4 please,menu,Default
option one,menu,Default
option two,menu,Default
option three,menu,Default
pehla option,menu,Default
dosra option,menu,Default
teesra option,menu,Default
chautha option,menu,Default
pehla chun lo,menu,Default
dosra chun lo,menu,Default
teesra chun lo,menu,Default
chautha chun lo,menu,Default
1 select karo,menu,Default
2 select karo,menu,Default
3 select karo,menu,Default
4 select karo,menu,Default
1 dabao,menu,Default
2 dabao,menu,Default
3 dabao,menu,Default
4 dabao,menu,Default
1 choose karo,menu,Default
2 choose karo,menu,Default
3 choose karo,menu,Default
4 choose karo,menu,Default
option four,menu,Default
mujhe call karna hai,contact_request,Default
support se connect kar do,contact_request,Default
agent se baat karni hai,contact_request,Default
pc controller dikhao,product_query,Controller
best controller for gaming,product_query,Controller
cheap pants available?,product_query,Pants
pants price kya hai?,product_query,Pants
comfortable jeans chahiye,product_query,Jeans
fashion pants dikhao,product_query,Pants
